station,entries_count,exits_count,day_of_week
GUN HILL RD,3375,3446,Sunday
GUN HILL RD,12846,8108,Monday
GUN HILL RD,13738,8674,Tuesday
GUN HILL RD,472736,8955,Wednesday
GUN HILL RD,13554,8834,Thursday
GUN HILL RD,13730,8920,Friday
34 ST-PENN STA,63664,64252,Sunday
34 ST-PENN STA,164813,138596,Monday
34 ST-PENN STA,171081,141232,Tuesday
34 ST-PENN STA,166998,142476,Wednesday
34 ST-PENN STA,158334,133138,Thursday
34 ST-PENN STA,157278,141524,Friday
GRD CNTRL-42 ST,32441,35699,Sunday
GRD CNTRL-42 ST,128690,118183,Monday
GRD CNTRL-42 ST,127909,123353,Tuesday
GRD CNTRL-42 ST,124389,119059,Thursday
GRD CNTRL-42 ST,122050,115356,Friday
86 ST,47888,53470,Sunday
86 ST,100114,78751,Monday
86 ST,104984,79228,Tuesday
86 ST,106076,79416,Wednesday
86 ST,104331,79398,Thursday
86 ST,104012,80932,Friday
34 ST-HERALD SQ,41450,46838,Sunday
34 ST-HERALD SQ,99245,100255,Monday
34 ST-HERALD SQ,103783,105236,Tuesday
34 ST-HERALD SQ,103187,106336,Wednesday
34 ST-HERALD SQ,100161,105703,Thursday
34 ST-HERALD SQ,102901,106809,Friday
23 ST,33637,28727,Sunday
23 ST,96868,80337,Monday
23 ST,101059,82420,Tuesday
23 ST,102311,85133,Wednesday
23 ST,98191,82312,Thursday
23 ST,96116,80833,Friday
14 ST-UNION SQ,48518,51821,Sunday
14 ST-UNION SQ,88975,81588,Monday
14 ST-UNION SQ,96127,89814,Tuesday
14 ST-UNION SQ,96238,89365,Wednesday
14 ST-UNION SQ,93125,87987,Thursday
14 ST-UNION SQ,97620,93702,Friday
TIMES SQ-42 ST,36788,43329,Sunday
TIMES SQ-42 ST,73405,74710,Monday
TIMES SQ-42 ST,77227,82341,Tuesday
TIMES SQ-42 ST,79589,84244,Wednesday
TIMES SQ-42 ST,76319,81881,Thursday
TIMES SQ-42 ST,78962,84551,Friday
CHAMBERS ST,15562,10924,Sunday
CHAMBERS ST,70991,42717,Monday
CHAMBERS ST,74053,45219,Wednesday
CHAMBERS ST,72165,45359,Thursday
CHAMBERS ST,69271,41780,Friday
FULTON ST,16865,14813,Sunday
FULTON ST,66532,63919,Monday
FULTON ST,70260,67047,Tuesday
FULTON ST,70768,67657,Wednesday
FULTON ST,69740,66948,Thursday
FULTON ST,69614,64667,Friday
CANAL ST,32180,24462,Sunday
CANAL ST,60442,47774,Monday
CANAL ST,64847,51292,Tuesday
CANAL ST,64726,51058,Wednesday
CANAL ST,62752,51314,Thursday
CANAL ST,67693,54668,Friday
59 ST COLUMBUS,27890,22687,Sunday
59 ST COLUMBUS,61766,51765,Monday
59 ST COLUMBUS,67395,56443,Tuesday
59 ST COLUMBUS,66762,55720,Wednesday
59 ST COLUMBUS,65340,55589,Thursday
59 ST COLUMBUS,61769,50562,Friday
125 ST,32669,31233,Sunday
125 ST,64972,53753,Monday
125 ST,64329,57660,Wednesday
125 ST,61442,57008,Thursday
125 ST,63783,58740,Friday
96 ST,23717,17340,Sunday
96 ST,58498,32855,Monday
96 ST,62599,34731,Tuesday
96 ST,63950,36327,Wednesday
96 ST,62952,35795,Thursday
96 ST,62118,36021,Friday
FLUSHING-MAIN,24888,20108,Sunday
FLUSHING-MAIN,54918,38179,Monday
FLUSHING-MAIN,57868,39878,Tuesday
FLUSHING-MAIN,57885,40259,Wednesday
FLUSHING-MAIN,55582,39219,Thursday
FLUSHING-MAIN,57394,40667,Friday
