STATION,ENTRIES
34 ST-PENN STA,170553.0
34 ST-PENN STA,163475.0
34 ST-PENN STA,153274.0
34 ST-PENN STA,147467.0
34 ST-PENN STA,101054.0
34 ST-PENN STA,73437.0
34 ST-PENN STA,63618.0
GRD CNTRL-42 ST,147214.0
GRD CNTRL-42 ST,143439.0
GRD CNTRL-42 ST,139224.0
GRD CNTRL-42 ST,132620.0
GRD CNTRL-42 ST,96954.0
GRD CNTRL-42 ST,44730.0
GRD CNTRL-42 ST,33985.0
23 ST,113944.0
23 ST,110073.0
23 ST,107540.0
23 ST,106769.0
23 ST,79770.0
23 ST,48203.0
23 ST,34595.0
34 ST-HERALD SQ,100143.0
34 ST-HERALD SQ,99226.0
34 ST-HERALD SQ,94299.0
34 ST-HERALD SQ,93876.0
34 ST-HERALD SQ,61996.0
34 ST-HERALD SQ,47135.0
34 ST-HERALD SQ,36392.0
14 ST-UNION SQ,90712.0
14 ST-UNION SQ,88278.0
14 ST-UNION SQ,84608.0
14 ST-UNION SQ,84488.0
14 ST-UNION SQ,61614.0
14 ST-UNION SQ,59160.0
14 ST-UNION SQ,47484.0
TIMES SQ-42 ST,93781.0
TIMES SQ-42 ST,93671.0
TIMES SQ-42 ST,87842.0
TIMES SQ-42 ST,86040.0
TIMES SQ-42 ST,61750.0
TIMES SQ-42 ST,50331.0
TIMES SQ-42 ST,40010.0
FULTON ST,95489.0
FULTON ST,94982.0
FULTON ST,90647.0
FULTON ST,90218.0
FULTON ST,66328.0
FULTON ST,35448.0
FULTON ST,27778.0
86 ST,86696.0
86 ST,86529.0
86 ST,85105.0
86 ST,83361.0
86 ST,62442.0
86 ST,43596.0
86 ST,33357.0
42 ST-PORT AUTH,75571.0
42 ST-PORT AUTH,72268.0
42 ST-PORT AUTH,70599.0
42 ST-PORT AUTH,67530.0
42 ST-PORT AUTH,49257.0
42 ST-PORT AUTH,45136.0
42 ST-PORT AUTH,39164.0
59 ST COLUMBUS,76541.0
59 ST COLUMBUS,72553.0
59 ST COLUMBUS,71779.0
59 ST COLUMBUS,69610.0
59 ST COLUMBUS,49047.0
59 ST COLUMBUS,40018.0
59 ST COLUMBUS,31393.0
125 ST,67576.0
125 ST,67054.0
125 ST,64610.0
125 ST,64302.0
125 ST,45423.0
125 ST,41357.0
125 ST,33656.0
CHAMBERS ST,72186.0
CHAMBERS ST,68229.0
CHAMBERS ST,66702.0
CHAMBERS ST,63718.0
CHAMBERS ST,48803.0
CHAMBERS ST,18127.0
CHAMBERS ST,13287.0
96 ST,63353.0
96 ST,61866.0
96 ST,60983.0
96 ST,59930.0
96 ST,46457.0
96 ST,32202.0
96 ST,25890.0
CANAL ST,63644.0
CANAL ST,62338.0
CANAL ST,59330.0
CANAL ST,57894.0
CANAL ST,40696.0
CANAL ST,36582.0
CANAL ST,29394.0
59 ST,63091.0
59 ST,60632.0
59 ST,59888.0
59 ST,58813.0
59 ST,42411.0
59 ST,30474.0
59 ST,21905.0
FLUSHING-MAIN,58904.0
FLUSHING-MAIN,57696.0
FLUSHING-MAIN,57661.0
FLUSHING-MAIN,55970.0
FLUSHING-MAIN,40528.0
FLUSHING-MAIN,35423.0
FLUSHING-MAIN,27843.0
JKSN HT-ROOSVLT,51456.0
JKSN HT-ROOSVLT,50624.0
JKSN HT-ROOSVLT,49066.0
JKSN HT-ROOSVLT,48944.0
JKSN HT-ROOSVLT,38650.0
JKSN HT-ROOSVLT,35742.0
JKSN HT-ROOSVLT,30023.0
47-50 STS ROCK,59331.0
47-50 STS ROCK,57479.0
47-50 STS ROCK,57379.0
47-50 STS ROCK,56695.0
47-50 STS ROCK,47654.0
47-50 STS ROCK,12571.0
47-50 STS ROCK,9847.0
14 ST,51633.0
14 ST,50827.0
14 ST,50572.0
14 ST,48340.0
14 ST,35129.0
14 ST,24768.0
14 ST,19424.0
50 ST,50343.0
50 ST,48845.0
50 ST,47716.0
50 ST,45295.0
50 ST,36326.0
50 ST,24403.0
50 ST,22262.0
